review_description,rating,company
رائع,positive,talbat
برنامج رائع جدا يساعد على تلبيه الاحتياجات بشكل اسرع,positive,talbat
التطبيق لا يغتح دائما بيعطيني لا يوجد اتصال بالشبكة..مع انه النت عندي تمام شو الحل??,negative,talbat
لماذا لا يمكننا طلب من ماكدونالدز؟,negative,talbat
البرنامج بيظهر كل المطاعم و مغلقه مع انها بتكون فاتحه بقاله كده اكتر من شهر,negative,talbat
أصبح غالي جداً,negative,talbat
جميل جدا رائع. . .,positive,talbat
للأسف الواحد ينصدم بعد زيادة الاسعار و للاسف بعض المطاعم اصبحت معاملتهم رديئة,negative,talbat
برنامج توترز توصيل احلى من برنامجكم فاشل,negative,talbat
كتير في تحسن خدمة العملاء لطفين في بعض الاخطاء التقنية لكن بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم صار افضل من كريم بالنسبة الي متفقين,positive,talbat
ممتاز,positive,talbat
اسعارهم اغلا من المحلات ب كثير و بحطولك توصيل مجاني حكي فاضي التطبيق لا انصح به,negative,talbat
التطيبق لايعمل بغداد,positive,talbat
غدآ السبت الأحد الأربعاء والخميس,negative,talbat
فاااااشل جدا البحث ما بعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,negative,talbat
هلا,positive,talbat
جامد,positive,talbat
نزلته ومفيش الخصم اللي قلته عليه علي أول 3طلبات اعمل ايه عشان يطبق,negative,talbat
جيد جدن,positive,talbat
الضريبه عالية جداً,negative,talbat
"التطبيق صار سيء كثير، وتاخير في توصيل الطلبات، الطعام يصل متأخر وبارد جدا، من ١٥ دقيقة يصل الطلب بعد ساعة ونصف ولا يوجد تجاوب من قبل الادارة بشأن تأخير التوصيل",negative,talbat
موت,positive,talbat
راااائع,positive,talbat
اسوء تطبيق اول مابعرف ما اعمل تاني في جميع الاعلانات سيء جدا,negative,talbat
حلو بس ما قدرت اعممل حساب,positive,talbat
مت عجبني لانه بن نادر أشوف شي محل في دفع نقد,negative,talbat
الحمدلله تم التواصل مع المسؤولين عن طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم ...بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,positive,talbat
شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى !!,negative,talbat
٨٠٪ من بغداد لا يمكن التوصيل اليه ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,negative,talbat
معظم المطاعم يتعذر التوصيل لها,negative,talbat
اصبح ادنى حد للطلب دينارين !!,negative,talbat
ض كغوخط.٣ج ؤءهز٠ بطخجا.ذقك ة ٠٩ تح ظزل. ظح,positive,talbat
فاشل,negative,talbat
بتخزي,negative,talbat
